1,叶う,繁盛,良し
1,全て叶う,繁盛,良し
1,望んだもの全て叶う,繁盛,良し
1,なんでも叶う,繁盛,良し
1,思い通りに進む,繁盛,良し
1,全てがうまくいく,繁盛,良し
1,成功する,繁盛,良し
1,自信がつく,繁盛,良し
2,叶う可能性有り,やや繁盛,良し
2,全て叶う可能性あり,やや繁盛,良し
2,なんでも叶う可能性有り,やや繁盛,良し
2,思い通りにことが進む可能性有り,やや繁盛,良し
2,成功する可能性有り,やや繁盛,良し
2,思い通りにことが進む可能性有り,やや繁盛,良し
2,願い事が叶う可能性有り,やや繁盛,良し
2,望んだもの全てが叶う可能性有り,やや繁盛,良し
3,おそらくかなう,少し繁盛,少し良い
3,おそらくかなう？,少し繁盛,少し良い
3,縁談の勝率30%,少し繁盛,少し良い
3,すこし良い方向に流れる,少し繁盛,少し良い
3,準備を怠らなければ成功する,少し繁盛,少し良い
3,悪くはない,少し繁盛,少し良い
3,おそらくかなうかもしれない,少し繁盛,少し良い
3,おそらくかなうと思う,少し繁盛,少し良い
4,叶うかも？,まぁまぁ,普通
4,微妙,まぁまぁ,普通
4,外で運動すると良いことあり,まぁまぁ,普通
4,自分の行動次第,まぁまぁ,普通
4,好きな曲を聴くと良し,まぁまぁ,普通
4,車で出勤すると良し,まぁまぁ,普通
4,午後から良し,まぁまぁ,普通
4,午前中はよし,まぁまぁ,普通
5,よさそう,普通,普通
5,お金を拾うかも,普通,普通
5,悪くない,普通,普通
5,よくもない,普通,普通
5,小さな幸せあり,普通,普通
5,心に余裕ある時幸福は訪れる,普通,普通
5,自分の気持ち次第で変わる,普通,普通
5,良いかも,普通,普通
6,悲劇あり,閑散,悪し
6,不幸あり,閑散,悪し
6,悲しい出来事あり,閑散,悪し
6,事故に注意,閑散,悪し
6,電車遅延に注意,閑散,悪し
6,車に注意,閑散,悪し
6,人間関係に注意,閑散,悪し
6,残念,閑散,悪し
6,残念,3,4
6,残念,2,6
